11-11-2021 12.51.10 AM	This log contains information about the import schema operation into project 'Database' on computer 'DESKTOP-V86F7GR' by user 'Rites'.
11-11-2021 12.51.11 AM	Import of database schema has started.
11-11-2021 12.51.23 AM	Gathering database credentials
11-11-2021 12.51.23 AM	Gathering database options
11-11-2021 12.51.23 AM	Gathering generic database scoped configuration option
11-11-2021 12.51.23 AM	Gathering users
11-11-2021 12.51.23 AM	Gathering roles
11-11-2021 12.51.23 AM	Gathering application roles
11-11-2021 12.51.23 AM	Gathering role memberships
11-11-2021 12.51.23 AM	Gathering filegroups
11-11-2021 12.51.23 AM	Gathering full-text catalogs
11-11-2021 12.51.23 AM	Gathering assemblies
11-11-2021 12.51.23 AM	Gathering certificates
11-11-2021 12.51.23 AM	Gathering asymmetric keys
11-11-2021 12.51.23 AM	Gathering symmetric keys
11-11-2021 12.51.23 AM	Gathering encrypted symmetric keys
11-11-2021 12.51.23 AM	Gathering schemas
11-11-2021 12.51.23 AM	Gathering XML schema collections
11-11-2021 12.51.23 AM	Gathering user-defined data types
11-11-2021 12.51.23 AM	Gathering user-defined types
11-11-2021 12.51.23 AM	Gathering table types
11-11-2021 12.51.23 AM	Gathering unique keys for table types
11-11-2021 12.51.23 AM	Gathering primary keys for table types
11-11-2021 12.51.23 AM	Gathering indexes for table types
11-11-2021 12.51.24 AM	Gathering check constraints for table types
11-11-2021 12.51.24 AM	Gathering default constraints for table types
11-11-2021 12.51.24 AM	Gathering partition functions
11-11-2021 12.51.24 AM	Gathering partition schemes
11-11-2021 12.51.24 AM	Gathering functions
11-11-2021 12.51.24 AM	Gathering encrypted functions
11-11-2021 12.51.24 AM	Gathering aggregates
11-11-2021 12.51.24 AM	Gathering procedures
11-11-2021 12.51.24 AM	Gathering encrypted procedures
11-11-2021 12.51.24 AM	Gathering tables
11-11-2021 12.51.24 AM	Gathering primary keys
11-11-2021 12.51.25 AM	Gathering unique constraints
11-11-2021 12.51.25 AM	Gathering foreign keys
11-11-2021 12.51.25 AM	Gathering default constraints
11-11-2021 12.51.25 AM	Gathering check constraints
11-11-2021 12.51.25 AM	Gathering views
11-11-2021 12.51.25 AM	Gathering encrypted views
11-11-2021 12.51.25 AM	Gathering indexes
11-11-2021 12.51.26 AM	Gathering statistics
11-11-2021 12.51.26 AM	Gathering full-text index stoplists
11-11-2021 12.51.26 AM	Gathering search property lists
11-11-2021 12.51.26 AM	Gathering search properties
11-11-2021 12.51.26 AM	Gathering full-text indexes
11-11-2021 12.51.26 AM	Gathering column store indexes
11-11-2021 12.51.26 AM	Gathering spatial indexes
11-11-2021 12.51.26 AM	Gathering XML indexes
11-11-2021 12.51.26 AM	Gathering Selective XML indexes
11-11-2021 12.51.26 AM	Gathering encrypted triggers
11-11-2021 12.51.26 AM	Gathering triggers
11-11-2021 12.51.26 AM	Gathering encrypted and clr ddl triggers
11-11-2021 12.51.26 AM	Gathering ddl triggers
11-11-2021 12.51.26 AM	Creating edge constraints
11-11-2021 12.51.26 AM	Gathering synonyms
11-11-2021 12.51.26 AM	Gathering defaults
11-11-2021 12.51.26 AM	Gathering data constraint uddt bindings
11-11-2021 12.51.26 AM	Gathering rules
11-11-2021 12.51.26 AM	Gathering data constraint uddt bindings
11-11-2021 12.51.26 AM	Gathering message types
11-11-2021 12.51.27 AM	Gathering queues
11-11-2021 12.51.27 AM	Gathering contracts
11-11-2021 12.51.27 AM	Gathering services
11-11-2021 12.51.27 AM	Gathering event notifications
11-11-2021 12.51.27 AM	Gathering remote service bindings
11-11-2021 12.51.27 AM	Gathering broker priorities
11-11-2021 12.51.27 AM	Gathering signatures
11-11-2021 12.51.27 AM	Gathering data compression options
11-11-2021 12.51.27 AM	Gathering sequence types
11-11-2021 12.51.27 AM	Gathering security policies
11-11-2021 12.51.27 AM	Gather column encryption keys
11-11-2021 12.51.27 AM	Gathering column master keys
11-11-2021 12.51.27 AM	Gathering external data sources
11-11-2021 12.51.27 AM	Gathering external file formats
11-11-2021 12.51.27 AM	Gathering external tables
11-11-2021 12.51.27 AM	Gathering extended properties
11-11-2021 12.51.27 AM	Gathering assemblies
11-11-2021 12.51.27 AM	Gathering credentials
11-11-2021 12.51.27 AM	Gathering logins
11-11-2021 12.51.27 AM	Gathering server audits
11-11-2021 12.51.27 AM	Scanning project for duplicate elements
11-11-2021 12.51.27 AM	Finished duplicate element processing
11-11-2021 12.51.28 AM	Finished importing database.
11-11-2021 12.51.28 AM	A summary of the import was saved to the following location: F:\Projects\ShubhProjects\JumpStartProjects\repos\Portal\Database\Import Schema Logs\Database_20211110072110.log
11-11-2021 12.51.28 AM	Click Finish to continue...
